('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765117 function calls (740712 primitive calls) in 2.025 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
    78/56    0.000    0.000    0.006    0.000 typing.py:574(__getitem__)
    78/44    0.000    0.000    0.256    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.008    0.000 css_parser.py:462(parse_attribute_selector)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       70    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       70    0.000    0.000    0.000    0.000 __init__.py:305(escape)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    68/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       65    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
       63    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       63    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       60    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       58    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
       58    0.000    0.000    0.137    0.002 client.py:635(_safe_read)
       57    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       57    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       56    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
       56    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       56    0.000    0.000    0.005    0.000 typing.py:753(Union)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       56    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       55    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       55    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
       54    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
       54    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       53    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       52    0.000    0.000    0.001    0.000 ipaddress.py:1930(__init__)
    52/14    0.001    0.000    0.027    0.002 css_parser.py:911(parse_selectors)
       51    0.000    0.000    0.804    0.016 {method 'readline' of '_io.BufferedReader' objects}
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       50    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       50    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       48    0.000    0.000    0.003    0.000 typing.py:1634(__getitem__)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       45    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       44    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       44    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       43    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       42    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
    42/30    0.000    0.000    0.021    0.001 css_parser.py:569(parse_pseudo_class)
       41    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
