('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         667042 function calls (646267 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       68    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       23    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
        1    0.000    0.000    1.006    1.006 request.py:1278(do_open)
       32    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       71    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
