('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         763004 function calls (738593 primitive calls) in 2.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      371    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      294    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.136    0.136 connectionpool.py:1(<module>)
      255    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       55    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
      353    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.035    0.035 url.py:1(<module>)
        3    0.000    0.000    0.099    0.033 response.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:133(BeautifulSoup)
        3    0.000    0.000    0.245    0.082 exceptions.py:1(<module>)
        1    0.000    0.000    0.029    0.029 cookiejar.py:1(<module>)
